# epoch,trial1,trial2,trial3,trial4,trial5
764.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9533333333333333,0.9666666666666665
765.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
766.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
767.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
768.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
769.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
770.0,0.9533333333333333,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
771.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
772.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
773.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
774.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
775.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
776.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
777.0,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665,0.9666666666666665
778.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
779.0,0.9533333333333333,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96
780.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
781.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
782.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
783.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
784.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
785.0,0.9533333333333333,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
786.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
787.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665
788.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
789.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
790.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
791.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9533333333333333
792.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
793.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
794.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
795.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
796.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665
797.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
798.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
799.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
800.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
801.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
802.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
803.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
804.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
805.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665
806.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
807.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
808.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
809.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
810.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
811.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
812.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
813.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665
814.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
815.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
816.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9733333333333332
817.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
818.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
819.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
820.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
821.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
822.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
823.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
824.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9666666666666665
825.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
826.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96
827.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
828.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
829.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
830.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665
831.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
832.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
833.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
834.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
835.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.96,0.9733333333333332
836.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
837.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
838.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
839.0,0.96,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
840.0,0.9733333333333332,0.9666666666666665,0.96,0.9666666666666665,0.9666666666666665
841.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
842.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
843.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
844.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
845.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
846.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
847.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
848.0,0.9533333333333333,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
849.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
850.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
851.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
852.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
853.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
854.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
855.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
856.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
857.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
858.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
859.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
860.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
861.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
862.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
863.0,0.9533333333333333,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
864.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
865.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
866.0,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332
867.0,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
868.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
869.0,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9666666666666665
870.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
871.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332
872.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332
873.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
874.0,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9666666666666665
875.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
876.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
877.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
878.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
879.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
880.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
881.0,0.96,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9666666666666665
882.0,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9666666666666665
883.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665
884.0,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332
885.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
886.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332
887.0,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
888.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
889.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
890.0,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
891.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9666666666666665
892.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9733333333333332
893.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
894.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9733333333333332
895.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.96,0.9666666666666665
896.0,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
897.0,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
898.0,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
899.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
900.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
901.0,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9666666666666665
902.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
903.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9733333333333332
904.0,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
905.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9666666666666665
906.0,0.9733333333333332,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332
907.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.98,0.9733333333333332
908.0,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.98,0.9733333333333332
909.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
910.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332
911.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665
912.0,0.9666666666666665,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
913.0,0.9666666666666665,0.98,0.9666666666666665,0.9666666666666665,0.9666666666666665
914.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
915.0,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9733333333333332,0.9666666666666665
916.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9666666666666665
917.0,0.9666666666666665,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
918.0,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332
919.0,0.9666666666666665,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
920.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
921.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
922.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
923.0,0.9666666666666665,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
924.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9666666666666665
925.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
926.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
927.0,0.9666666666666665,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
928.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
929.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
930.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
931.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
932.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
933.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
934.0,0.9666666666666665,0.98,0.9733333333333332,0.98,0.9666666666666665
935.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
936.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
937.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
938.0,0.9666666666666665,0.98,0.9666666666666665,0.9733333333333332,0.9733333333333332
939.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
940.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
941.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
942.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9666666666666665
943.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.9733333333333332
944.0,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332
945.0,0.9733333333333332,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.9733333333333332
946.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
947.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
948.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
949.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9666666666666665
950.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
951.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
952.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9733333333333332
953.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
954.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
955.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
956.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
957.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
958.0,0.9733333333333332,0.98,0.96,0.9666666666666665,0.9666666666666665
959.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
960.0,0.9666666666666665,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
961.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
962.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
963.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
964.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
965.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
966.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
967.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
968.0,0.9733333333333332,0.98,0.9666666666666665,0.9733333333333332,0.9666666666666665
969.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
970.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
971.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
972.0,0.9666666666666665,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
973.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9666666666666665
974.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
975.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9666666666666665
976.0,0.98,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
977.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9666666666666665
978.0,0.9666666666666665,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
979.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9666666666666665
980.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
981.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
982.0,0.9733333333333332,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
983.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
984.0,0.9666666666666665,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
985.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
986.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
987.0,0.9733333333333332,0.98,0.9733333333333332,0.98,0.9733333333333332
988.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9733333333333332
989.0,0.9733333333333332,0.98,0.9666666666666665,0.9666666666666665,0.9733333333333332
990.0,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9733333333333332
991.0,0.9666666666666665,0.9666666666666665,0.9666666666666665,0.98,0.98
992.0,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.9733333333333332
993.0,0.9733333333333332,0.9666666666666665,0.9733333333333332,0.98,0.9666666666666665
994.0,0.9666666666666665,0.9666666666666665,0.9733333333333332,0.98,0.98
995.0,0.98,0.98,0.9733333333333332,0.9666666666666665,0.9733333333333332
996.0,0.98,0.9666666666666665,0.9733333333333332,0.9733333333333332,0.9666666666666665
997.0,0.98,0.9666666666666665,0.9733333333333332,0.9666666666666665,0.98
998.0,0.9733333333333332,0.98,0.9733333333333332,0.9733333333333332,0.9666666666666665
999.0,0.9666666666666665,0.98,0.9733333333333332,0.98,0.9666666666666665
1000.0,0.9666666666666665,0.98,0.9666666666666665,0.98,0.9666666666666665
